regime,target_core_diameter_um,target_bessel_length_um,valid,violations,samples_per_feature,samples_per_radial_period,samples_per_axial_zone,output_dx_um,axial_dz_um,configured_filter_radius_lpmm,recommended_filter_radius_lpmm,effective_filter_radius_lpmm,carrier_lpmm,axicon_cone_radius_lpmm,frequency_bin_lpmm,first_order_geometry_valid,first_order_geometry_margin_lpmm
limits,1.0,100.0,True,,3.9805636540330407,5.199712903391578,16.666666666666668,0.25122070312500006,5.999999999999999,6.0,30.2740474492081,6.597222222222222,6.944444444444445,30.1519771367081,0.06103515625,False,-23.329603004763655
limits,1.0,200.0,True,,3.9805636540330407,5.199712903391578,22.222222222222214,0.25122070312500006,9.000000000000002,6.0,60.4260245859162,6.597222222222222,6.944444444444445,60.3039542734162,0.06103515625,False,-53.48158014147176
limits,1.0,400.0,True,,3.9805636540330407,5.199712903391578,22.222222222222214,0.25122070312500006,18.000000000000004,6.0,120.7299788593324,6.597222222222222,6.944444444444445,120.6079085468324,0.06103515625,False,-113.78553441488796
limits,1.0,800.0,True,,3.9805636540330407,5.199712903391578,22.222222222222214,0.25122070312500006,36.00000000000001,6.0,241.3378874061648,6.597222222222222,6.944444444444445,241.2158170936648,0.06103515625,False,-234.39344296172035
limits,1.5,25.0,True,,5.970845481049562,7.799569355087367,4.166666666666667,0.25122070312500006,5.999999999999999,6.0,6.0,6.0,6.944444444444445,3.3502196818564554,0.06103515625,True,0.9444444444444446
limits,1.5,50.0,True,,5.970845481049562,7.799569355087367,8.333333333333334,0.25122070312500006,5.999999999999999,6.0,6.822509676212911,6.822509676212911,6.944444444444445,6.700439363712911,0.06103515625,True,0.12193476823153393
limits,1.5,100.0,True,,5.970845481049562,7.799569355087367,16.666666666666668,0.25122070312500006,5.999999999999999,6.0,13.522949039925821,6.597222222222222,6.944444444444445,13.400878727425821,0.06103515625,False,-6.578504595481377
limits,1.5,200.0,True,,5.970845481049562,7.799569355087367,22.222222222222214,0.25122070312500006,9.000000000000002,6.0,26.923827767351643,6.597222222222222,6.944444444444445,26.801757454851643,0.06103515625,False,-19.979383322907196
limits,1.5,400.0,True,,5.970845481049562,7.799569355087367,22.222222222222214,0.25122070312500006,18.000000000000004,6.0,53.725585222203286,6.597222222222222,6.944444444444445,53.603514909703286,0.06103515625,False,-46.78114077775884
limits,1.5,800.0,True,,5.970845481049562,7.799569355087367,22.222222222222214,0.25122070312500006,36.00000000000001,6.0,107.32910013190657,6.597222222222222,6.944444444444445,107.20702981940657,0.06103515625,False,-100.38465568746213
limits,2.0,25.0,True,,7.961127308066081,10.399425806783157,4.166666666666667,0.25122070312500006,5.999999999999999,6.0,6.0,6.0,6.944444444444445,1.8844985710442563,0.06103515625,True,0.9444444444444446
limits,2.0,50.0,True,,7.961127308066081,10.399425806783157,8.333333333333334,0.25122070312500006,5.999999999999999,6.0,6.0,6.0,6.944444444444445,3.7689971420885127,0.06103515625,True,0.9444444444444446
limits,2.0,100.0,True,,7.961127308066081,10.399425806783157,16.666666666666668,0.25122070312500006,5.999999999999999,6.0,7.660064596677025,6.597222222222222,6.944444444444445,7.537994284177025,0.06103515625,False,-0.7156201522325807
