method,z_relative_mm,pearson_r_to_target,normalized_rmse_to_target,azimuthal_principal_ring_cv,dark_core_to_ring_mean,centroid_x_um,centroid_y_um
Calibrated physical baseline,-1.0,0.5122857432034378,0.09515428282250063,0.46878129759592746,0.02265252419705652,-1.372826161229822,3.0421747753648036
Calibrated physical baseline,0.0,0.42313241260065204,0.09034798900543353,0.3670249794628272,0.015940535670462847,1.0480246337467454,2.2508729842163753
Miao-only corrected (same twin),-17.0,0.9919548919989635,0.01702395166911252,0.04061482434477163,0.003057557752556933,-0.7405180331320315,0.08788638914348003
Miao-only corrected (same twin),-16.0,0.9964167704353161,0.012978700163053341,0.03589601782934894,0.0022199926066123845,-0.8473612710636411,0.16758675449220511
Miao-only corrected (same twin),-15.0,0.9978849853838695,0.009176693136475728,0.04150088511073184,0.0012945065330826743,0.41475164949673576,0.3736220717090689
Miao-only corrected (same twin),-14.0,0.9969763682333359,0.010832014287097973,0.03909052960562343,0.0013948381194181184,1.345383775940154,0.2565190088910964
Miao-only corrected (same twin),-13.0,0.9892016384390769,0.018298472800522155,0.06840611098140631,0.0019834736663541432,0.8789727107377016,-0.13588632774775916
Miao-only corrected (same twin),-12.0,0.9805648893870799,0.022733910300988185,0.0808727464849921,0.0034704334393833493,-1.3768974186329943,-0.7557279574990653
Miao-only corrected (same twin),-11.0,0.9895825820999296,0.01657969427191671,0.1075850859890839,0.004242096666417904,-2.5686282770969098,-1.0447073456910116
Miao-only corrected (same twin),-10.0,0.9929385888537217,0.01378385906195599,0.15509707921100901,0.0026855789550543556,0.30743577436914815,-0.6179770090106763
Miao-only corrected (same twin),-9.0,0.9955581274157278,0.010940472082895747,0.1529672464126396,0.0024409919067596756,3.4314611821359913,0.08619203744800336
Miao-only corrected (same twin),-8.0,0.9911873560459671,0.015442630951051708,0.17491634267221642,0.005335289300689082,4.098065620979663,0.8052710868162285
Miao-only corrected (same twin),-7.0,0.9644170583395512,0.028543370609629543,0.2971166421984713,0.008607259618689186,0.765650280273572,0.8271673970331052
Miao-only corrected (same twin),-6.0,0.9520736777860778,0.038298128377239574,0.35082730247418253,0.019780794157103068,-6.152309665832648,0.7206645326082639
Miao-only corrected (same twin),-5.0,0.9784357364657568,0.01850087787948282,0.42326896225457006,0.01171958364240524,-4.791938287610557,1.0832336091270498
Miao-only corrected (same twin),-4.0,0.9925705532705038,0.011360957400708653,0.3999706883359567,0.00705381508280104,2.7078843964174597,0.7669695660291282
Miao-only corrected (same twin),-3.0,0.9893591844734934,0.015425533258003991,0.3809722945134773,0.008909308325119799,5.225464772645228,0.9864641015355045
Miao-only corrected (same twin),-2.0,0.9625078024799624,0.02727365772836935,0.4676989408231417,0.03395790870567947,5.389309444633323,1.594915582575497
Miao-only corrected (same twin),-1.0,0.9373889757574817,0.03409014832121419,0.3560757319182504,0.05954468063047694,-2.221041892614899,1.0811370380617573
Miao-only corrected (same twin),0.0,0.9151703339026033,0.033236162538186696,0.5133014006941288,0.098473920793061,-5.601590519100503,0.7299825430409076
Physical fit + Miao corrected,-17.0,0.9808766728222261,0.025479916120124114,0.054220814678472215,0.0032487023205204214,-0.5437504580701127,0.28624167124584193
Physical fit + Miao corrected,-16.0,0.9779299159580215,0.03855619229499098,0.0471393074664657,0.0034553043145458717,-1.7706496965008187,0.1413449061497656
Physical fit + Miao corrected,-15.0,0.9920045189341944,0.02011365152974961,0.05691601970391614,0.0019448171050755205,-0.570677299007177,0.4450886158949065
Physical fit + Miao corrected,-14.0,0.9951657454824351,0.020244251308249372,0.04656852302147198,0.0014981068683927086,1.1568701080240051,0.30026078710421855
