ell,target_spot_um,target_zone_um,input_energy_uJ,kr_sample_m_inv,kr_slm_m_inv,cone_lpmm,carrier_lpmm,filter_lpmm,gamma_slm_deg,w0_sample_um,holo_first_order_feasible,max_holo_zone_um,gap_holo_to_target_um,phys_sampling_valid,phys_sampling_violations,phys_samples_per_feature,hardware_reachable,holo_feasible_and_hardware,phys_feasible_and_hardware,meets_target_zone_holo,meets_target_zone_phys
3,3.0,300.0,10.0,1603333.3333333333,25881.21034532502,4.119122559659576,6.250000000000001,2.5,0.48569352543019634,32.284254069012505,False,268.74655559932836,31.25344440067164,True,,11.941690962099123,True,False,True,False,True
3,4.0,50.0,10.0,1202500.0,2426.3634698742208,0.3861677399680853,6.250000000000001,2.5,0.04553484911962629,4.035531758626563,True,477.77165439880594,-427.77165439880594,True,,15.922254616132163,True,True,True,True,True
3,4.0,100.0,10.0,1202500.0,4852.7269397484415,0.7723354799361706,6.250000000000001,2.5,0.09106964071964854,8.071063517253126,True,477.77165439880594,-377.77165439880594,True,,15.922254616132163,True,True,True,True,True
3,4.0,150.0,10.0,1202500.0,7279.090409622662,1.158503219904256,6.250000000000001,2.5,0.1366043172808986,12.10659527587969,True,477.77165439880594,-327.77165439880594,True,,15.922254616132163,True,True,True,True,True
3,4.0,200.0,10.0,1202500.0,9705.453879496883,1.5446709598723412,6.250000000000001,2.5,0.18213882128508033,16.142127034506252,True,477.77165439880594,-277.77165439880594,True,,15.922254616132163,True,True,True,True,True
3,4.0,300.0,10.0,1202500.0,14558.180819245325,2.317006439808512,6.250000000000001,2.5,0.27320708155602874,24.21319055175938,True,477.77165439880594,-177.77165439880594,True,,15.922254616132163,True,True,True,True,True
3,5.0,50.0,10.0,962000.0,1552.8726207195014,0.24714735357957462,6.250000000000001,2.5,0.029142307058920344,3.22842540690125,True,746.5182099981344,-696.5182099981344,True,,19.902818270165202,True,True,True,True,True
3,5.0,100.0,10.0,962000.0,3105.7452414390027,0.49429470715914925,6.250000000000001,2.5,0.058284599039404736,6.4568508138025,True,746.5182099981344,-646.5182099981344,True,,19.902818270165202,True,True,True,True,True
3,5.0,150.0,10.0,962000.0,4658.617862158504,0.7414420607387239,6.250000000000001,2.5,0.08742686086306403,9.68527622070375,True,746.5182099981344,-596.5182099981344,True,,19.902818270165202,True,True,True,True,True
3,5.0,200.0,10.0,962000.0,6211.490482878005,0.9885894143182985,6.250000000000001,2.5,0.1165690774516027,12.913701627605,True,746.5182099981344,-546.5182099981344,True,,19.902818270165202,True,True,True,True,True
3,5.0,300.0,10.0,962000.0,9317.235724317008,1.4828841214774477,6.250000000000001,2.5,0.17485331461088505,19.3705524414075,True,746.5182099981344,-446.51820999813435,True,,19.902818270165202,True,True,True,True,True
