label,sweep_parameter,sweep_value,compensated,h_channel_overlap_to_required,v_channel_overlap_to_required,pre_axicon_overlap_to_required,pre_axicon_stokes_rms,pre_axicon_alpha_rms,pre_axicon_power_ratio,phase_rms_error_rad_h,first_order_efficiency,zero_order_leakage_after_iris,rejected_power_fraction,reference_z_mm,z60_full_field_correlation,z60_central_crop_correlation,xz_map_correlation_to_v0,angular_profile_correlation_to_v0,c60,c120,c120_minus_c60,dark_core_ratio,ring_island_count,strict_class,best_plane_correlation,best_plane_z_mm,passes,failure_mode,correction
hv_piston_rad_0.4,hv_piston_rad,0.4,False,0.9494866677713865,0.9494859222988103,0.9120081984643141,0.6392983697258565,0.5864911961175884,0.9497280655422174,0.0,0.9494978967579103,0.0,0.0505021032420897,60.0,0.9930580217265202,0.9930580406776258,0.9977909142566712,0.998787191771713,0.8608052902102309,0.8319409990088874,-0.028864291201343484,0.0018229975929672509,0,visual_hexagonal_field,0.9955122620955331,72.575,True,none,
hv_piston_rad_0.8,hv_piston_rad,0.8,False,0.9494866677713865,0.9494859222988101,0.8054955649736882,0.8914175894412768,0.6489069348345972,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930582880019028,0.9930583069530052,0.9977909780803561,0.9987869958084559,0.860814041235395,0.831951450017145,-0.028862591218249967,0.002101969528114288,0,visual_hexagonal_field,0.9955121833930849,72.575,True,none,
hv_piston_rad_1.6,hv_piston_rad,1.6,False,0.9494866677713865,0.9494859222988093,0.4608748567871736,1.429365711600015,0.8557487799761403,0.9497280655422174,0.0,0.9494978967579103,0.0,0.0505021032420897,60.0,0.9930585059761113,0.9930585249272096,0.9977910316424814,0.9987868262745716,0.8608217347851033,0.8319607354989443,-0.028860999286158928,0.002342022657886264,0,visual_hexagonal_field,0.9955121069849948,72.575,True,none,
hv_piston_rad_3.141592653589793,hv_piston_rad,3.141592653589793,False,0.9494866677713865,0.9494859222988109,3.823214750576539e-11,1.9267506007576003,1.281754330695737,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576642014233,0.9930576831525311,0.9977908413820094,0.9987874254385773,0.8607955735147215,0.8319297878850649,-0.028865785629656582,0.001491650949145493,0,visual_hexagonal_field,0.9955123225170642,72.575,True,none,
hv_piston_rad_4.7,hv_piston_rad,4.7,False,0.9494866677713865,0.9494859222988103,0.46886773414530986,1.4190300203693167,0.8515464021335795,0.9497280655422174,0.0,0.9494978967579105,0.0,0.05050210324208948,60.0,0.9930568304182767,0.9930568493693877,0.9977905894074806,0.9987880005049683,0.8607687611792368,0.8318977130282857,-0.028871048150951095,0.0006409502072152348,0,visual_hexagonal_field,0.9955125394997759,72.575,True,none,
hv_piston_rad_5.883185307179586,hv_piston_rad,5.883185307179586,False,0.9494866677713865,0.9494859222988101,0.9120128871975879,0.6391370543556313,0.5868693560852635,0.9497280655422174,0.0,0.9494978967579103,0.0,0.0505021032420897,60.0,0.9930573691949361,0.9930573881460469,0.9977907419763323,0.9987876493761865,0.8607846608859187,0.8319164550817045,-0.02886820580421412,0.001160398312357293,0,visual_hexagonal_field,0.9955124302218582,72.575,True,none,
hv_amplitude_ratio_0.8,hv_amplitude_ratio,0.8,False,0.9494866677713865,0.9494859222988102,0.9379072293064491,0.5881095828593131,0.5644584016670707,0.778777028338444,0.0,0.9494979145509455,0.0,0.050502085449054546,60.0,0.9827331567769217,0.9827331733816964,0.997774203966271,0.9864386984752838,0.835375857447817,0.8205807907872213,-0.014795066660595602,0.0012243756024673512,0,visual_hexagonal_field,0.9852524937893328,72.575,True,none,
hv_amplitude_ratio_0.9,hv_amplitude_ratio,0.9,False,0.9494866677713865,0.9494859222988103,0.9468634215599452,0.5356656422114632,0.5644584016670706,0.8595039070180037,0.0,0.9494979052666731,0.0,0.0505020947333269,60.0,0.9906806665352591,0.9906806849485846,0.997786276075341,0.9959073628812636,0.8529943077618699,0.8295706089970122,-0.023423698764857726,0.0013529387472388929,0,visual_hexagonal_field,0.9931762631827834,72.575,True,none,
hv_amplitude_ratio_0.95,hv_amplitude_ratio,0.95,False,0.9494866677713865,0.9494859222988099,0.9488624620369261,0.52311956575962,0.5644584016670707,0.9034288262995288,0.0,0.9494979009119567,0.0,0.05050209908804326,60.0,0.9924958601093297,0.9924958789373711,0.9977893854466388,0.9980909686411957,0.858012664574891,0.8314949379151374,-0.026517726659753604,0.0014224009887398264,0,visual_hexagonal_field,0.994972407516276,72.575,True,none,
hv_amplitude_ratio_1.0,hv_amplitude_ratio,1.0,False,0.9494866677713865,0.9494859222988109,0.9494862949969127,0.5223437091326746,0.5644584016670706,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576985938014,0.9930577175449107,0.9977908316676191,0.9987874219982806,0.860794952698077,0.8319286853993294,-0.02886626729874764,0.0014917067224054794,0,visual_hexagonal_field,0.9955123490161348,72.575,True,none,
